Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
T 46945,T  46945 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,,0
T 46924,T  46924 ,1,Vedanta : some modern trends : with reference to the works o,"G. S. S.  Sreenivasa Rao, (Gregory Sim 00021232930",1982,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 46728,T  46728 ,1,The political philosophy of Swami Vivekananda / A.V. Rathna,"A. V.  Rathna Reddy, (Arey Venkata), 1 00021233318",1984,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 46034,T  46034 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Full,0
5125.dd.11.,   5125 DD     11 ,1,Vindiciae adversus responsiones a J. F. variis locis Instit,"FEBRONIUS, Justinus, pseud. [i.e. Johann Nicolas v",0,1776,5,GEN,Unknown,Standard Access,Printed Books,08W02446P,,0
T 45642,T  45642 ,1,No Title Entered,No Author Entered,0,1833,-,GEN,Unknown,Standard Access,Printed Books,,Partial,0
T 45618,T  45618 ,1,The Indianization of English : the English language in India,"Braj B.  Kachru, (Braj Behari) 00021235152",1983,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 41168,T  41168 ,1,No Title Entered,No Author Entered,0,0,-,GEN,Unknown,Standard Access,Printed Books,,Partial,0
T 45409,T  45409 ,1,"Bharati : patriot, poet, prophet / S. Ramakrishnan.","S.  Ramakrishnan, 1921- 00021231560",1982,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 45401,T  45401 ,1,India-Pakistan 1971 : causes and outcome / D.D. Khanna.,"D. D.  Khanna, (Damodar Das), 1923- 00021234872",1981,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 45365,T  45365 ,1,"The role of the zamindars in Bengal, 1707-1772 / Shirin Akht",Shirin  Akhtar 00021221049,1982,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 44957,T  44957 ,1,"The story of the Calcutta theatres, 1753-1980 / Sushil Kumar","Sushil Kumar  Mukherjee, 1911- 00021238281",1982,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 44944,T  44944 ,1,Walk warily in Waziristan /,"Stockdale, Francis Tim.",1982,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 44224,T  44224 ,1,Recollections of my school days / Lal Behari Day ; edited wi,"Lal Behari  Day, 1826-1894. 00021236552",1981,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 44074,T  44074 ,1,The origin and development of Vais_n_avism : Vais_n_avism fr,"Suvira  Jaiswal, 1934- 00021217572",1981,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 47898,T  47898 ,1,The Mahabharata : a literary study / Krishna Chaitanya.,"Krishna  Chaitanya, 1918- 00021226015",1985,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
T 47942,T  47942 ,1,Military intervention in politics : a case study of Pakistan,Veena  Kukreja 00021229386,1985,0,,GEN,Probably in Copyright,Standard Access,Printed Books,,,0
