Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
74/1888.c.3.,     74 /   1888 C      3 ,4,[A collection of broadsides and newspaper cuttings containi,,1794,1794,,EAR,Probably out of Copyright,,,10W17740P,Partial,4
74/1888.c.3.,     74 /   1888 C      3 ,4,[A collection of broadsides and newspaper cuttings containi,,1794,1794,,EAR,Probably out of Copyright,,,,Unknown,4
74/1888.c.3.,     74 /   1888 C      3 ,4,[A collection of broadsides and newspaper cuttings containi,,1794,1794,,EAR,Probably out of Copyright,,,,Partial,4
74/1888.c.3.,     74 /   1888 C      3 ,4,[A collection of broadsides and newspaper cuttings containi,,1794,1794,,EAR,Probably out of Copyright,,,09W10307P,Unknown,4
718.g.6.,    718 G      6 ,2,"Monas hieroglyphica Ioannis Dee, Londinensis, ad Maximilian","Dee, John, 1527-1608.",1564,1564,,EAR,Probably out of Copyright,,,11W28999P,Partial,3
S.C.Sotheby.(1.),SCSOTHEBY(      1 ),2,"[Sale Catalogues. The auctioneers' copies, mounted and with",,1739,1937,,EAR,Probably out of Copyright,,,08W03053P,Full,3
C.194.a.507,C    194 A    507 ,3,"The Book of Household Management, etc. [With plates and ...","BEETON, Isabella Mary.",1861,0,,RR2,Probably out of Copyright,,,,Partial,3
469.g.6.,    469 G      6 ,2,"The Bible In Englyshe of The Largest and greatest volume, t",,1566,0,,EAR,Probably out of Copyright,,,,Partial,3
Maps K.Top.22.7.b.,MAPSKTOP     22       7 B,2,VIEW of the SOUTH FRONT of the New Buildings called ADELPHI,"Pastorini, Benedetto, b. 1746, printmaker.",1770,0,-,RM2,Probably out of Copyright,,,,,3
798.h.14.,    798 H     14 ,2,"The Emigrant's Guide; in ten letters, addressed to the t...","Cobbett, William,",1829,0,,EAR,Probably out of Copyright,,,,,3
472.b.3.,    472 B      3 ,3,"The Byble, that is to say all the holy Scripture: In whych",,1549,1549,,EAR,Probably out of Copyright,,,07W13160P,Unknown,3
Maps K.Top.22.7.b.,MAPSKTOP     22       7 B,2,VIEW of the SOUTH FRONT of the New Buildings called ADELPHI,"Pastorini, Benedetto, b. 1746, printmaker.",1770,0,-,RM2,Probably out of Copyright,,,12W54278P,,3
472.b.3.,    472 B      3 ,3,"The Byble, that is to say all the holy Scripture: In whych",,1549,1549,,EAR,Probably out of Copyright,,,12W60687P,Unknown,3
1191.i.7.,   1191 I      7 ,2,Illustrations of Madness: exhibiting a singular case of ins,"HASLAM, John, M.D.",1810,1810,,EAR,Probably out of Copyright,,,10W15971P,Unknown,3
Maps C.26.f.7.,MAPSC     26 F      7 ,2,[A Collection of Plans and Views of portions of the buildin,,1780,0,-,RM2,Probably out of Copyright,,,11W40219P,Partial,3
Maps C.26.f.7.,MAPSC     26 F      7 ,2,[A Collection of Plans and Views of portions of the buildin,,1780,0,-,RM2,Probably out of Copyright,,,11W31671P,Partial,3
S.C.Sotheby.(1.),SCSOTHEBY(      1 ),2,"[Sale Catalogues. The auctioneers' copies, mounted and with",,1739,1937,,EAR,Probably out of Copyright,,,08W03053P,Partial,3
1191.i.7.,   1191 I      7 ,2,Illustrations of Madness: exhibiting a singular case of ins,"HASLAM, John, M.D.",1810,1810,,EAR,Probably out of Copyright,,,09W1199P,Unknown,3
C.194.a.231,C    194 A    231 ,2,Mr & Mrs John Brown's visit to London to see the Grand Expo,"Onwhyn, Thomas, ca. 1820-1886",1851,1851,,RR2,Probably out of Copyright,,,09W12389P,Partial,3
798.e.17.,    798 E     17 ,2,The Felonry of New South Wales; being a faithful picture of,"MUDIE, James, of Castle Forbes.",1837,1837,,EAR,Probably out of Copyright,,,10W24828P,Unknown,3
C.194.a.1127,C    194 A   1127 ,2,The comic adventures of Old Mother Hubbard and her dog.,"Martin, Sarah Catherine, 1768-1826",1805,1805,,RR2,Probably out of Copyright,,,12W61181P,Partial,3
C.39.k.17.,C     39 K     17 ,2,"Mr William Shakespear's Comedies, Histories, and Tragedies.","Shakespeare, William, 1564-1616",1685,1685,,RR2,Probably out of Copyright,,,12W51079P,Partial,3
C.39.k.17.,C     39 K     17 ,2,"Mr William Shakespear's Comedies, Histories, and Tragedies.","Shakespeare, William, 1564-1616",1685,1685,,RR2,Probably out of Copyright,,,12W51079P,Full,3
Maps C.26.f.7.,MAPSC     26 F      7 ,2,[A Collection of Plans and Views of portions of the buildin,,1780,0,-,RM2,Probably out of Copyright,,,11W31671P,Full,3
C.194.a.1127,C    194 A   1127 ,2,The comic adventures of Old Mother Hubbard and her dog.,"Martin, Sarah Catherine, 1768-1826",1805,1805,,RR2,Probably out of Copyright,,,12W61181P,Full,3
1578/6326,   1578 /   6326 ,2,The liberty bell. By Friends of freedom. 1839-1858.,,1839,1839,,EAR,Probably out of Copyright,,,,,3
C.194.a.1128,C    194 A   1128 ,3,"A continuation of the comic adventures, of Old Mother Hubba","Martin, Sarah Catherine, 1768-1826",1806,1806,,RR2,Probably out of Copyright,,,11W44363P,Unknown,3
C.39.k.17.,C     39 K     17 ,2,"Mr William Shakespear's Comedies, Histories, and Tragedies.","Shakespeare, William, 1564-1616",1685,1685,,RR2,Probably out of Copyright,,,11W37073P,Full,3
