Shelfmark,NormalizedShelfmark,Request Count,Title,Author,Pub Year,Periodical Date,Vol,Read Cat,Copyright Status,Access,Collection,IMPS Order ID,Digitisation Status,Digitisation Priority
OMS/Cotton XXVI.29,OMS/COTTONXXVI     29 ,1,No Title Entered,No Author Entered,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 516,OMS/OR    516 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Harley 5699,OMS/HARLEY   5699 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 480,OMS/OR    480 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 481,OMS/OR    481 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 484,OMS/OR    484 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 485,OMS/OR    485 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 486,OMS/OR    486 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or 489,OMS/OR    489 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 496,OMS/OR    496 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 533,OMS/OR    533 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Or. 502,OMS/OR    502 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
Or 75 g 25,OR     75 G     25 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add.20741,OMS/ADD  20741 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add. 7931,OMS/ADD   7931 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Harley 5648,OMS/HARLEY   5648 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Add.19342,OMS/ADD  19342 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Add 19250,OMS/ADD  19250 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Add 7759,OMS/ADD   7759 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/or.2860,OMS/OR   2860 ,7,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,RO3,Unknown,Standard Access,APAC,,,3
OMS/add 7628,OMS/ADD   7628 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/add5600,OMS/ADD   5600 ,2,No Title Entered,No Author Entered,0,0,-,ROX,Unknown,Restricted,APAC,09W11830P,,3
OMS/Add 5600,OMS/ADD   5600 ,2,No Title Entered,No Author Entered,0,0,-,ROX,Unknown,Restricted,APAC,,,3
X 83,X     83 ,2,The Oriental miscellany :,,1789,0,,RO3,Probably out of Copyright,Standard Access,APAC,,,3
OMS/IO SAN 688,OMS/IOSAN    688 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Lansdowne 1048,OMS/LANSDOWNE   1048 ,2,No Title Entered,No Author Entered,0,0,-,ROX,Unknown,Restricted,APAC,,,3
OMS/Or 2204,OMS/OR   2204 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Or.4129,OMS/OR   4129 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Or.5736,OMS/OR   5736 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Or.13506,OMS/OR  13506 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Or 15372,OMS/OR  15372 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROX,Unknown,Restricted,APAC,,,3
OMS/Or. 4126,OMS/OR   4126 ,2,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,   ,ROX,Unknown,Restricted,APAC,,,3
W 2112,W   2112 ,2,"Purchas his Pilgrimes. In five bookes. The first, contaynin","Purchas, Samuel, 1577?-1626.",1625,0,,RO1,Probably out of Copyright,Standard Access,APAC,,,3
OMS/Add. 7894 ,OMS/ADD   7894 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/or 961,OMS/OR    961 ,6,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,RO3,Unknown,Standard Access,APAC,,Partial,3
OMS/Add. 5114,OMS/ADD   5114 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add.11737 (Box 3),OMS/ADD  11737 (BOX      3 ),1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add 14731,OMS/ADD  14731 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add. 16196,OMS/ADD  16196 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add.16204,OMS/ADD  16204 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
OMS/Add. 16257,OMS/ADD  16257 ,1,NO TITLE ENTERED,NO AUTHOR ENTERED,0,0,,ROZ,Unknown,Highly Restricted,APAC,,,3
